Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_idAAAEgen0_uff_E=405.91, -8.1, 0.000, 0.000
6LU7_idAAAEgen0_uff_E=405.91, -7.9, 2.369, 3.888
6LU7_idAAAEgen0_uff_E=405.91, -7.9,19.303,23.027
6LU7_idAAAEgen0_uff_E=405.91, -7.9,18.902,23.321
6LU7_idAAAEgen0_uff_E=405.91, -7.5,33.271,36.639
6LU7_idAAAEgen0_uff_E=405.91, -7.4,32.501,35.814
6LU7_idAAAEgen0_uff_E=405.91, -7.2,35.875,39.987
6LU7_idAAAEgen0_uff_E=405.91, -7.1,19.388,23.068
6LU7_idAAAEgen0_uff_E=405.91, -7.1,19.085,23.022
6LU7_idAAAPgen5_uff_E=61.62, -4.6, 0.000, 0.000
6LU7_idAAAPgen5_uff_E=61.62, -4.6,30.262,31.116
6LU7_idAAAPgen5_uff_E=61.62, -4.6,30.925,31.877
6LU7_idAAAPgen5_uff_E=61.62, -4.5,30.724,31.741
6LU7_idAAAPgen5_uff_E=61.62, -4.3,17.806,18.548
6LU7_idAAAPgen5_uff_E=61.62, -4.3,25.556,26.090
6LU7_idAAAPgen5_uff_E=61.62, -4.2,30.971,31.958
6LU7_idAAAPgen5_uff_E=61.62, -4.1,17.574,18.056
6LU7_idAAAPgen5_uff_E=61.62, -4.1, 9.062, 9.759
6LU7_idAABBgen4_uff_E=1644.91,-10.5, 0.000, 0.000
6LU7_idAABBgen4_uff_E=1644.91,-10.0,33.571,38.522
6LU7_idAABBgen4_uff_E=1644.91, -9.9,33.728,38.678
6LU7_idAABBgen4_uff_E=1644.91, -9.9, 3.421, 8.851
6LU7_idAABBgen4_uff_E=1644.91, -9.7,36.272,41.451
6LU7_idAABBgen4_uff_E=1644.91, -9.5, 3.594, 7.067
6LU7_idAABBgen4_uff_E=1644.91, -9.4,33.363,38.936
6LU7_idAABBgen4_uff_E=1644.91, -9.3,34.233,39.183
6LU7_idAABBgen4_uff_E=1644.91, -9.3,37.527,42.076
6LU7_idAABFgen5_uff_E=118.25, -4.4, 0.000, 0.000
6LU7_idAABFgen5_uff_E=118.25, -4.4,29.909,31.060
6LU7_idAABFgen5_uff_E=118.25, -4.2, 1.084, 2.126
6LU7_idAABFgen5_uff_E=118.25, -4.1, 2.891, 3.432
6LU7_idAABFgen5_uff_E=118.25, -4.0,18.066,18.654
6LU7_idAABFgen5_uff_E=118.25, -3.9, 1.271, 2.268
6LU7_idAABFgen5_uff_E=118.25, -3.9,51.109,51.876
6LU7_idAABFgen5_uff_E=118.25, -3.9, 2.267, 2.665
6LU7_idAABFgen5_uff_E=118.25, -3.8,18.824,19.441
6LU7_idAABUgen3_uff_E=642.94, -9.1, 0.000, 0.000
6LU7_idAABUgen3_uff_E=642.94, -7.6,21.869,23.602
6LU7_idAABUgen3_uff_E=642.94, -7.5,21.473,22.936
6LU7_idAABUgen3_uff_E=642.94, -7.4,23.740,25.341
6LU7_idAABUgen3_uff_E=642.94, -7.4, 2.507, 4.241
6LU7_idAABUgen3_uff_E=642.94, -7.3, 2.692, 5.162
6LU7_idAABUgen3_uff_E=642.94, -7.3,25.562,27.997
6LU7_idAABUgen3_uff_E=642.94, -7.2, 2.293, 5.100
6LU7_idAABUgen3_uff_E=642.94, -7.1, 2.242, 4.481
6LU7_idAACCgen3_uff_E=1652.94, -7.7, 0.000, 0.000
6LU7_idAACCgen3_uff_E=1652.94, -7.6,18.232,21.428
6LU7_idAACCgen3_uff_E=1652.94, -7.6, 4.109,11.510
6LU7_idAACCgen3_uff_E=1652.94, -7.5,21.414,25.585
6LU7_idAACCgen3_uff_E=1652.94, -7.5,19.854,23.908
6LU7_idAACCgen3_uff_E=1652.94, -7.4, 4.392, 9.820
6LU7_idAACCgen3_uff_E=1652.94, -7.4,16.088,20.778
6LU7_idAACCgen3_uff_E=1652.94, -7.3, 8.813,13.175
6LU7_idAACCgen3_uff_E=1652.94, -7.3, 5.068,10.654
6LU7_idAACJgen4_uff_E=866.71, -7.8, 0.000, 0.000
6LU7_idAACJgen4_uff_E=866.71, -7.8,27.251,30.185
6LU7_idAACJgen4_uff_E=866.71, -7.8, 3.164, 6.395
6LU7_idAACJgen4_uff_E=866.71, -7.7,23.341,25.119
6LU7_idAACJgen4_uff_E=866.71, -7.7,24.554,26.742
6LU7_idAACJgen4_uff_E=866.71, -7.5,22.474,24.478
6LU7_idAACJgen4_uff_E=866.71, -7.5,23.934,26.313
6LU7_idAACJgen4_uff_E=866.71, -7.4,21.769,23.655
6LU7_idAACJgen4_uff_E=866.71, -7.4,24.489,26.472
6LU7_idAACMgen4_uff_E=773.74, -8.3, 0.000, 0.000
6LU7_idAACMgen4_uff_E=773.74, -8.0, 1.764, 7.112
6LU7_idAACMgen4_uff_E=773.74, -8.0,21.471,24.440
6LU7_idAACMgen4_uff_E=773.74, -7.6, 6.054, 8.203
6LU7_idAACMgen4_uff_E=773.74, -7.5,25.240,27.673
6LU7_idAACMgen4_uff_E=773.74, -7.4,22.052,24.989
6LU7_idAACMgen4_uff_E=773.74, -7.3,23.052,26.130
6LU7_idAACMgen4_uff_E=773.74, -7.3, 4.778, 8.453
6LU7_idAACMgen4_uff_E=773.74, -7.1,24.145,26.746
6LU7_idAADBgen4_uff_E=869.27, -8.3, 0.000, 0.000
6LU7_idAADBgen4_uff_E=869.27, -8.3,18.714,22.293
6LU7_idAADBgen4_uff_E=869.27, -8.2, 2.278,10.041
6LU7_idAADBgen4_uff_E=869.27, -8.0,16.328,17.849
6LU7_idAADBgen4_uff_E=869.27, -7.9, 2.572,10.166
6LU7_idAADBgen4_uff_E=869.27, -7.8, 3.353, 5.426
6LU7_idAADBgen4_uff_E=869.27, -7.8,16.591,18.908
6LU7_idAADBgen4_uff_E=869.27, -7.8,16.440,18.225
6LU7_idAADBgen4_uff_E=869.27, -7.8,34.145,35.736
6LU7_idAADLgen4_uff_E=1909.95, -8.8, 0.000, 0.000
6LU7_idAADLgen4_uff_E=1909.95, -8.3, 1.492, 2.076
6LU7_idAADLgen4_uff_E=1909.95, -8.2, 4.298, 6.121
6LU7_idAADLgen4_uff_E=1909.95, -8.1, 2.159, 3.674
6LU7_idAADLgen4_uff_E=1909.95, -8.0, 5.291,10.726
6LU7_idAADLgen4_uff_E=1909.95, -8.0, 3.243, 5.424
6LU7_idAADLgen4_uff_E=1909.95, -8.0, 4.256, 8.741
6LU7_idAADLgen4_uff_E=1909.95, -7.9, 5.427,11.636
6LU7_idAADLgen4_uff_E=1909.95, -7.9, 4.084, 5.692
6LU7_idAADPgen3_uff_E=400.32, -8.2, 0.000, 0.000
6LU7_idAADPgen3_uff_E=400.32, -7.7, 1.704,11.068
6LU7_idAADPgen3_uff_E=400.32, -7.6,17.960,20.122
6LU7_idAADPgen3_uff_E=400.32, -7.5,18.377,20.586
6LU7_idAADPgen3_uff_E=400.32, -7.5,21.631,25.938
6LU7_idAADPgen3_uff_E=400.32, -7.5,21.007,25.097
6LU7_idAADPgen3_uff_E=400.32, -7.5,21.317,22.289
6LU7_idAADPgen3_uff_E=400.32, -7.5, 1.833, 2.443
6LU7_idAADPgen3_uff_E=400.32, -7.4, 3.741, 4.951
