id,gen,smile,source,score
AAAC,0,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C)c(C)c2)cc1,training,99.9
AAAD,0,CCOC(=O)C1=C(C(=O)OCC)C(c2cccc(Cl)c2)NC(=O)N1,generated,99.9
AAAE,0,NC(=O)c1ccc(NC(=O)C(CC(=O)O)NC(=O)c2cc(-c3ccccc3)ccc2Cl)nn1,generated,99.9
AAAF,0,COC(=O)c1ccc2c(c1)N(C(=O)c1ccc(C)cc1)CC(C)(C)O2,generated,99.9
AAAG,0,Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)cc1,training,99.9
AAAK,0,CC(C)n1cc(C(=O)N2CCCC(c3nc(C4CCCO4)no3)C2)cn1,generated,99.9
AAAM,0,O=C(c1ccncc1)N1CC2CN(C(=O)C3CCCC3)CC2C1,generated,99.9
AAAN,0,CC1CCC(NC(=O)c2ccc(CNC(=O)c3cc(C(C)(C)C)cc(C(F)(F)F)c3)cc2)CC1,generated,99.9
AAAR,0,COc1cccc(CN(C)C(=O)Cc2ccccc2OC)c1,generated,99.9
AAAS,0,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)O)CCC23C)C1(C)C,training,99.9
AAAT,0,CCOc1ccc(C(=O)N2CCC(c3cccc(C(C)=O)c3)CC2)cn1,generated,99.9
AAAV,0,Cc1ccc(NC(=O)CN2C(=O)CC(C)C2=O)cc1C,generated,99.9
AAAX,0,COc1ccc(Cl)cc1NC(=O)Cc1coc2c(OC)c(OC)ccc12,generated,99.9
AAAY,0,O=C(CNC(=O)c1ccc(F)cc1)Nc1cccc(C(F)(F)F)c1,training,99.9
AABD,0,CC(CNC(=O)c1cc(F)ccc1F)c1ccccc1Cl,generated,99.9
AACY,0,O=C(O)Cc1ccc(-c2noc(-c3ccc(O)cc3)n2)cc1,generated,99.9
AADY,0,Cc1nc2ccccc2n1CC(=O)N1CCC(C)CC1C,generated,99.9
AAEM,0,Cc1ccc(CN(C)C(=O)COc2ccc(Cl)cc2)o1,generated,99.9
AAES,0,O=C(CSc1nc2ccccc2c(=O)[nH]1)NCc1ccco1,training,99.9
AAFP,0,COC(=O)COc1ccc(S(=O)(=O)NC(C)(C)C)cc1,training,99.9
AAIA,0,O=C(Nc1nc2ccccc2[nH]1)c1ccc(-n2ccnc2)nc1,generated,99.9
AAIE,0,CC(NC(=O)c1cccc(O)c1)c1ccccc1S(C)(=O)=O,generated,99.9
AAIF,0,Cc1cc(C)n(CC(=O)N2CCC(Oc3cnccn3)CC2)n1,generated,99.9
AAII,0,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cc2ccccc2c(=O)[nH]1,generated,99.9
AAIL,0,CC(C)(C)OC(=O)N1CCCN(C(=O)Cc2ccc(F)cc2)CC1,training,99.9
AAIN,0,Cc1nc(CN(C)C(=O)c2cc3ccccc3o2)sc1C,generated,99.9
AAIR,0,NC(=O)NCC(=O)Nc1ccc(-c2cccc(-n3cccn3)n2)cc1,generated,99.9
AAIY,0,CC(C)Oc1ccc2cc(-c3ccc(O)c(O)c3)oc2c1,generated,99.9
AAJI,0,COc1ccc(CN2CCn3c(nnc3C(C)(C)C)C2)cc1OC,generated,99.9
AAJM,0,COc1ccc(C2(CNC(=O)c3ccc(C)s3)CCOCC2)cc1,generated,99.9
AAJR,0,Cc1cc(C(=O)O)n(CC2CN(Cc3ccccc3)C2)n1,generated,99.9
AAKV,0,COC(=O)c1ccc(C(=O)NCc2cc(C)on2)cc1,generated,99.9
AAKY,0,COc1cc(C=CC(=O)OCC(=O)NC(C)(C)C)cc(OC)c1OC,generated,99.9
AALE,0,O=C(CCc1nc(-c2ccc(F)cc2)no1)Nc1ccc(F)cc1F,generated,99.9
AALK,0,Cc1ccccc1NC(=O)c1nnc(-c2cccc(Cl)c2)o1,generated,99.9
AALL,0,O=C(CCNC(=O)c1c[nH]c2ccccc12)NCc1ccccc1,training,99.9
AALT,0,Cc1cc(C)c(C(=O)Nc2cccc(OCC(F)F)n2)c(C)c1,generated,99.9
AAMG,0,O=C(Nc1nnc(C2CC2)s1)c1ccc(-c2ccccc2)o1,generated,99.9
AAMH,0,O=C(Nc1ccc(-n2cncn2)cc1)c1cn(C2CCCCC2)nn1,generated,99.9
AAMX,0,CCOC(=O)c1[nH]c(C)c(C(=O)C=Cc2ccc(C)cc2)c1C,generated,99.9
AANH,0,CC(C)c1cc(C(=O)NCc2nc(-c3ccccn3)no2)no1,generated,99.9
AANJ,0,N#Cc1ccccc1-c1ccc(-c2ccc(C(=O)NC3CC3)cc2)cc1,generated,99.9
AAOI,0,CC1CCCN(S(=O)(=O)c2ccc(N3CCCC3)nc2)C1,generated,99.9
AAPK,0,Cc1nc(CC(=O)Nc2ccc(C3CCC(C)(O)C3)cc2)cs1,generated,99.9
AAPR,0,CCC(CO)NC(=O)N1CCN(C(=O)C2(C)CCCO2)CC1,generated,99.9
AAQE,0,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,generated,99.9
AARM,0,O=C(NC1(c2ccccc2)CC1)N1CCN(Cc2ccccc2)CC1,generated,99.9
AAUZ,0,Cc1ccc(C(=O)NCCc2nc3ccccc3[nH]2)c(=O)[nH]1,training,99.9
AAVA,0,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1cn(C)c(=O)[nH]1)c1ccccc1,generated,99.9
AAVB,0,COC(=O)C(C)NC(=O)C1CCC(=O)N(c2ccccc2)C1,generated,99.9
AAVC,0,COC(=O)c1cc(C)ccc1NC(=O)c1cccc(F)c1,generated,99.9
AAVD,0,CC(OC(C)(C)C)C(=O)NCC1CN(Cc2cccc(C(F)(F)F)c2)CCO1,generated,99.9
AAVH,0,CC1CC(C)CN(C(=O)NCc2ccc(C(=O)N(C)C)cc2)C1,training,99.9
AAVI,0,COc1ccc(CNC(=O)c2ccc(C)cc2)c(OC)c1,training,99.9
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,99.9
AAVP,0,CCOCCC(=O)N1CCCC(C(=O)NCCc2cccs2)C1,generated,99.9
AAVV,0,CC1CCCN1c1cccc(CC(=O)N2CCCC2c2ccccc2)n1,generated,99.9
AAVW,0,O=C(Cc1ccc[nH]1)N1CCN(c2nc(CC3CC3)cs2)CC1,generated,99.9
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,99.9
AAWL,0,COc1cccc(CN2CCOC(CCC(=O)Nc3ccc(C)cc3)C2)c1,generated,99.9
AAWO,0,COc1ccc(C=CC(=O)NC(CCCCCCCCC(=O)NCCS(=O)(=O)O)C(N)C(=O)NCCCCCCC(=O)NCCOC(=O)C2(C(=O)NCC(C)C)CCC2)cc1OC,generated,99.9
AAWS,0,O=C(NCc1cccc(C(F)(F)F)c1)N1CCN(c2ccccc2)CC1,generated,99.9
AAWV,0,O=C(CC1CCCCC1)Nc1cccc(S(=O)(=O)NC2CCCCC2)c1,generated,99.9
AAWW,0,CC1CCN(C(=O)c2ccccc2SC(F)(F)F)CC1,generated,99.9
AAWZ,0,CC1(C)C(=O)N(c2ccc(Cl)cc2)C(=O)N1CCC(N)=O,generated,99.9
AAXS,0,Cc1nn(C)c2c1N(C(=O)CCCc1cc(F)ccc1F)CCO2,generated,99.9
AAXT,0,COc1ccc(-c2cn3c(n2)CCN(Cc2cccnc2)C3=O)cc1,generated,99.9
