id,gen,smile,source,weight,score,logp
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,746.9090000000001,-10.1,4.9372000000000025
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,461.56200000000024,-9.9,4.737500000000005
AARC,0,NC(=O)C(Cc1ccc(OCc2ccccc2)cc1)CP(=O)(O)CC(Cc1ccccc1)C(=O)O,generated,495.5120000000002,-9.4,4.123500000000003
ABHY,0,N#Cc1cccc(NP(=O)(OCC(CO)Cc2ccc(F)c(F)c2)c2ccccc2)c1,generated,442.40200000000004,-9.0,4.634780000000003
ABRN,0,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CNNC(=O)C(Cc1ccccc1)OC(=O)c1ccccc1,generated,547.6520000000003,-8.9,3.5724000000000027
AANZ,0,O=C(C=Cc1ccc(CNCc2ccc(Cl)cc2)cc1)N(Cc1ccccc1)Cc1ccc(Br)cc1,generated,559.9350000000002,-8.8,7.634500000000006
ABFZ,0,O=C(OC(Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,generated,412.91600000000005,-8.7,6.683300000000005
AAIM,0,O=C(Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1)n1ccc(=O)c(=O)[nH]c1=O,generated,403.3160000000001,-8.6,2.6628000000000007
AAAN,0,CC1CCC(NC(=O)c2ccc(CNC(=O)c3cc(C(C)(C)C)cc(C(F)(F)F)c3)cc2)CC1,generated,474.56700000000023,-8.6,6.241400000000007
ABMO,0,CC(C)(C)c1ccccc1N1CCN(c2ccc(N3CCN(CC(=O)N4CCCCCC4)CC3)c(Nc3ccccc3)c2)CC1,generated,608.8750000000005,-8.6,6.578900000000007
AAAE,0,NC(=O)c1ccc(NC(=O)C(CC(=O)O)NC(=O)c2cc(-c3ccccc3)ccc2Cl)nn1,generated,467.86900000000014,-8.5,2.107699999999999
AAPH,0,CN(C)c1cncc(C2CC3CCC(C2)N3CC(O)CNC2CCN(C(=O)OC(C)(C)C)CC2)n1,generated,488.6770000000003,-8.5,2.6030000000000006
AAWR,0,CC(C)N(Cc1ccc(C(N)=O)cc1)Cc1cccc2ccccc12,generated,332.44700000000006,-8.5,4.349300000000003
ABQT,0,CN(C)C(=O)C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,generated,358.48500000000007,-8.4,4.518300000000004
ABPQ,0,Cc1cccc(NS(=O)(=O)c2c(CNc3ccc(C(=O)N(C)C)cc3)cc(C)nc2C)c1,generated,452.5800000000002,-8.4,4.121560000000003
ABGP,0,Cc1ccc(C(c2nnnn2C(C)(C)C)N2CCN(c3ccccc3)CC2)cc1,generated,390.53500000000014,-8.2,3.648120000000003
ABJF,0,Fc1cccc(CNC(=NC2CCC(F)C2)N2CCc3ccccc3C2)c1,generated,369.4590000000001,-8.2,4.220200000000004
ABKL,0,CC(C)(C)N(Cc1cc(F)cc(F)c1)CC(O)c1ccc(O)c(O)c1,generated,351.39300000000003,-8.2,3.7101000000000033
AAVA,0,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1cn(C)c(=O)[nH]1)c1ccccc1,generated,456.5680000000002,-8.2,2.1164999999999994
ABCM,0,CC1(C)CC=C(COc2ccc3c(C=Cc4ccccc4)n[nH]c3c2)CCCC1,generated,386.5390000000002,-8.1,7.028800000000007
ABFR,0,CC(=O)Nc1ccc(Nc2cc(-c3ccccc3)ccc2-c2ccc(C)cc2)cc1,generated,392.5020000000001,-8.0,7.031020000000005
ABOP,0,CC1=C(C(=O)OC(c2ccccc2)c2ccccc2)C(C)(C)CN1CC(O)COCc1ccccc1,generated,485.62400000000036,-8.0,5.512700000000006
AAJZ,0,CC(C)(C)c1ccc(-c2cc(OCc3cccc(C(=O)O)c3)c(CC(=O)O)s2)cc1,generated,424.51800000000014,-7.9,5.616900000000005
ABRH,0,CC(C)(C)n1c(Cc2ccccc2)nc2ccccc2c1=O,generated,292.3820000000001,-7.8,3.742300000000003
AANY,0,CS(=O)(=O)N1CCCC(c2nnnn2-c2ccc(F)cc2)C1,generated,325.3690000000001,-7.8,0.9403999999999997
ABRA,0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2Cl)n(-c2ccccc2)n1,generated,388.858,-7.8,5.836700000000004
AALN,0,CC(C)(C)C(=O)NC(=Nc1ccc([N+](=O)[O-])cc1)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,generated,472.4450000000001,-7.8,3.741900000000002
AAXD,0,CN(C(=O)C1(Nc2ncccn2)CC1)c1cccc2ccccc12,generated,318.38000000000005,-7.8,3.237300000000001
ABRO,0,CC(C)(C)OC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Cl)ccc32)CC1,generated,444.4020000000002,-7.7,6.9248000000000065
AATY,0,O=C(Nc1ccc(Cl)cc1)N1CCC(n2cc(-c3ccccc3)nn2)CC1,generated,381.86700000000013,-7.7,4.467500000000004
AATQ,0,COc1ccc2c(OCC3OC(CO)C(O)C(O)C3O)cccc2c1,generated,350.3670000000001,-7.7,0.069599999999999
ABCB,0,O=C(Nc1ccc(-c2nnnn2-c2ccccc2)cc1)c1ccc(Cl)cc1Cl,generated,410.2640000000001,-7.7,4.8884000000000025
AAWY,0,CC(NC(=O)Cn1c(=O)oc2ccccc21)c1cccs1,generated,302.355,-7.7,2.5334000000000003
ABCN,0,CCN(CC)S(=O)(=O)N(CC(=O)Nc1ccc(Cl)c(C)c1)Cc1ccc(N2CCOCC2)cc1,generated,509.0720000000004,-7.6,3.5123200000000026
AAOB,0,CC(Nc1cc(-c2ccc(C#N)cc2)ccc1O)C(=O)NC1CCCCC1,generated,363.4610000000002,-7.6,4.180180000000003
AAVN,0,CCOc1ccc(OCC)c(Nc2nc(Nc3ccccc3OC)nc(-c3ccccc3)n2)c1,generated,457.53400000000016,-7.6,5.831800000000005
ABGJ,0,NC(=O)C1NC(Cc2cnc[nH]2)C(CC(C(F)(F)F)C(Cl)(Cl)Cl)N1,generated,408.6389999999999,-7.6,1.6324
ABOZ,0,COc1ccc(CCN(C(=O)Nc2ccccc2)c2nccnc2N)cc1,generated,363.4210000000001,-7.6,3.348600000000001
AAVS,0,Cc1cc(C)c(COc2ccc(-c3cccc(CN4CCCCC4)c3)cc2)cn1,generated,386.5390000000002,-7.6,5.930340000000006
ABKS,0,Cc1ccc(Cl)cc1C(c1ccc(OCc2nn(C)c(=O)[nH]2)cc1)C(C)C,generated,385.8950000000001,-7.6,4.437120000000004
ABNS,0,CCc1ccccc1Nc1nc(N2CCOCC2)nc(N2CCN(C(=O)OC(C)(C)C)CC2)n1,generated,469.5900000000003,-7.6,3.071300000000001
AANK,0,COc1ccc(C=C2N=C(c3ccccc3)Oc3ccccc32)cc1,generated,327.38300000000004,-7.6,5.032500000000004
AAZG,0,O=C(Nc1ccc(Cl)cc1)c1cnc(-c2ccccc2)nc1N1CCCCC1,generated,392.89000000000027,-7.6,5.0396000000000045
AAIP,0,Cc1ccc(-c2cnc(NCc3ccc4c(c3)OCO4)nc2)cc1,generated,319.36400000000003,-7.5,3.7928200000000016
AAAD,0,CCOC(=O)C1=C(C(=O)OCC)C(c2cccc(Cl)c2)NC(=O)N1,generated,352.774,-7.5,2.0742
AASI,0,COc1ccc(C(=O)c2ccc(C=C(C)c3cc4ccccc4[nH]3)cc2)cc1,generated,367.44800000000004,-7.5,5.968000000000005
AATD,0,COc1ccccc1-c1ccc(C=C2C=NN(C3CCCCC3)C2=O)cc1,generated,360.4570000000002,-7.5,4.906300000000004
AAMA,0,Nc1ncc(-c2ccc3c(c2)CCN(C(=O)C2CCCCC2)CC3)nn1,generated,351.4540000000001,-7.5,2.628300000000001
AAOZ,0,COC(=O)c1cccc(OC(=O)c2ccc(C)c(Cl)c2)c1,generated,304.729,-7.5,3.6542200000000022
ABIS,0,CN1CCC(N(C)Cc2cc(-c3ccc(Cl)cc3)c3c(n2)OCCO3)CC1,generated,387.9110000000003,-7.5,3.699200000000002
ABAT,0,Cc1nc(N)nc(-c2ccc3nc(C4CCCCC4)[nH]c3c2)n1,generated,308.38899999999995,-7.5,3.353220000000002
AAAJ,0,Cc1cc(C)cc(C(=O)N(CC(=O)NO)c2ccc(Cl)cc2)c1,generated,332.78700000000003,-7.5,3.109040000000001
ABQV,0,NC(Cc1ccc(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)cc1)C(=O)O,generated,409.48500000000007,-7.5,5.767300000000005
ABHX,0,Cc1ccc(-c2cc(-c3ccccc3O)nc(-c3ccco3)n2)cc1,generated,328.37100000000004,-7.5,5.084620000000005
ABFD,0,COc1cccc(CN(C)c2nccc(Nc3ccc(C)nn3)n2)c1,generated,336.39900000000006,-7.5,2.9636200000000006
ABNF,0,O=C(Nc1ccc(-c2csc(Nc3ccc(F)cc3)n2)o1)c1ccccc1,generated,379.41600000000005,-7.5,5.538100000000003
AAYX,0,CC(NC(=O)CCC(=O)Nc1ccc(Cl)cc1)c1ncc(C(F)(F)F)cc1Cl,generated,434.2450000000001,-7.4,5.003300000000003
AAJC,0,CC(C=Nn1cnnc1)c1ccc(OCc2cccc(OC(F)(F)F)c2)cc1,generated,390.36500000000007,-7.4,4.3933000000000035
AAFA,0,Cc1ccc(Oc2cc3c(cc2Cl)C(=O)c2ccccc2C3=O)cc1,generated,348.7850000000001,-7.4,5.216120000000004
ABPU,0,CC(C)(C)C(=O)Nc1ccc(CC2CCCN2c2ccc(Cl)cc2)cc1,generated,370.924,-7.4,5.536100000000005
ABKF,0,Nc1nc(SC(Cc2ccc(O)cc2)C(=O)O)n(S(=O)(=O)c2ccccc2)n1,generated,420.4720000000001,-7.4,1.5909000000000002
ABJI,0,CC(C)COc1cc(-c2ccco2)ccc1C(=O)NC(C(F)(F)F)C(F)(F)F,generated,409.32599999999996,-7.4,5.204400000000002
AAYF,0,COc1ccccc1CNS(=O)(=O)c1ccc2c(c1)CCC(=O)N2,training,346.40800000000013,-7.4,2.0584000000000002
