id,gen,smile,source,weight,logp,score
AARY,3,CC1=CC=C(C2=CC=C(CNC(=O)c3ccccc3-c3ccccc3-c3ccccc3)C(=O)NC(=O)NC(=O)CCCC2=O)NC(=O)C2CCCCC2C=C1,LSTM,736.8689999999997,7.031200000000007,-11.8
ABDI,3,CC(=O)NC(=O)CC1=CC=C2C=C(NC(=O)NC3=CC=C(c4ccccc4-c4ccccc4)CC3=CC=C3CCC=CC=C31)N(C(=O)Nc1ccccccccc1)NC2=O,LSTM,808.9390000000001,8.916900000000004,-11.5
AAUW,3,Cc1ccc(NC2=CC=C3CCN=C4C(=O)C5CCC(C)CC5=CC=CC=C4C(CC3)c3ccccc3-c3ccccc3C=CC=CC=CC=CC=C2)c(=O)[nH]1,LSTM,737.9880000000003,11.660719999999987,-11.4
AAJV,3,N#CC1CCCC2CC3C=C(C=C(N2)C(=O)NC1=O)C(=CC=C(CN1CCN2CC=CC=CC=CC=C1C2=O)C1C(=O)N(C(=O)c2ccccc2)C1=O)NC(=O)C3,LSTM,767.8430000000002,2.6071800000000005,-10.9
ACNC,3,CC(=O)NC1=CC=C(Cc2ccc(C(=O)NC3=CC=C(C(=O)Nc4ccccc4)CC3)cc2CNc2ccccc2O)CC(=O)NC(CC(=O)NC2=CC=CC=C(c3ccccc3)CCC2)C=C1,LSTM,909.0999999999999,9.124400000000001,-10.9
ABVG,3,CC(=O)NC(C(=O)O)C(=O)N1CCCCC2=CC=CC=CC=C(NC(=O)c3ccc(-c4ccccc4)cc32)C1=O,LSTM,539.5880000000002,3.605100000000002,-10.8
AATR,3,CC(=O)NC(=O)C(CC1=CC=C(C(=O)NC(=O)Cc2ccc(Cl)cc2)C2=NC=NC(C=C1)C1=NN=NC(=CC(=O)NC1=O)OCC=C1C=CC=CC=C1CC=CC=CC=CC=CC=C2O)NC(C)=O,LSTM,952.425,5.715100000000006,-10.8
AASP,3,Cc1ccc(C(=O)NC2=CC=CC=C3C=CC=CC=CCCC(CC2)C3=O)cc1C=CC=CC=CC=CC=C1C=CC=C1C=CC=CC=C1C=CC=CC=CC=CC=CC=CC=CC=C1,LSTM,850.1590000000004,15.139219999999963,-10.6
ABNP,3,Cc1cccc(C)[nH]c(-c2nnnn2C2=CC=C(Nc3ccccc3-c3ccccc3)C2=O)cc1,LSTM,460.5410000000002,5.496040000000004,-10.5
ABJZ,3,CC1=CC=C(C(=O)Nc2nnnn2-c2ccccc2-c2ccc(C)cc2)C1=O,LSTM,371.40000000000015,3.031620000000001,-10.2
ABFA,3,CC1=CC=CC(C(=O)NN2C(=O)CC(C)C2=O)C=C1C=C1C=CC=C1C=Cc1ccccc1C=C(N)C1=CC=C(Nc2ccccc2)C1=O,LSTM,648.7630000000001,6.412000000000005,-10.2
AAOW,3,CC1=CC=C(C=C2C=CC=C3C=CC=C3C2)CC(C)CCCCCCC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C1,LSTM,592.9110000000004,13.110399999999974,-10.2
ABOA,3,CC(=O)Nc1ccccc1C(=O)NC(=O)C1=CC=C(C(=O)NC(=O)N2CC=CCCCC(C)CC(C)C2)C=CC=C1,LSTM,558.6790000000004,4.820800000000005,-10.1
AATF,3,CC1=CC=CCCC(C)(C)NC(=O)Cc2ccccc2CCC=C1C=CC=C1C=CC=CC=CC=Cc2ccccc21,LSTM,553.7900000000003,9.614399999999998,-10.1
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,746.9090000000001,4.9372000000000025,-10.1
ADCR,1,CC(C)(C)C1=CC=C(c2cccnn2)C(Nc2ccc(C3=CC=CC=CC=C3N=NNc3ncccn3)nc2)CCCCC2=CC=C(C=C1)CCCCCC=C2,LSTM,744.0039999999996,11.874099999999984,-10.1
AAWU,3,CC(=O)Nc1ccccc1C1=CC=C(NC2=CC=CC=CC=C2C2=CC=C(C=Cc3ccccc3)CC2)C1=O,LSTM,510.6370000000003,7.380900000000007,-10.0
AAFT,2,CC1=CCC=CC(C2=CC=CN=C3CCC=CC=C3C2)C1=C1C=Cc2ccccc2C2CCC(CC1=O)C2NCC1CCCCC1,LSTM,610.886,10.084899999999998,-10.0
AAEV,3,Cc1ccc(CC(=O)NC2=CC=C(C(=O)Oc3ccccc3)c3ccccc3CCC=CC=C2Cl)c(=O)[nH]1,LSTM,527.0200000000002,5.540220000000005,-10.0
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,461.56200000000024,4.737500000000005,-9.9
AAXC,3,O=C(CN1C(=O)C(NC(=O)Nc2ccccc2)C=C1CCC=CC=C1SCC=CC=C1O)NC(=O)C(CC(=O)Nc1ccccc1)C(=O)Nc1ccccc1,LSTM,760.8730000000002,5.794500000000004,-9.9
ACJA,3,CC1=CC=CC(C(=O)NC2=CC=C(C)CC2=O)C=CC=CC=CC=CC=CC=CC=CC=CC=C2C=CC(C)C2=C1,LSTM,541.735,8.546200000000004,-9.9
AAUA,3,CN(CC(=O)NC(=O)C1CCCCCC1=O)NC1=CC=C(C(=O)Nc2ccccc2)CN2CC=CC=C2c2ccc(CC(=O)Nc3ccccn3)cc2C1,LSTM,727.8659999999999,4.709200000000003,-9.8
AAOO,3,CC1=CC=C(CCCCc2ccc(C(=O)NC3=CC=C(Nc4ccccc4)CC3)c(=O)[nH]2)CCC=CC=CC=CC=CCCCCC=C1,LSTM,641.9000000000001,10.499099999999991,-9.8
AATB,3,Cc1ccc(-c2nnnn2C2CCCCC2C2=CC=C(c3ccccc3)CC2)cc1,LSTM,396.5380000000001,6.183620000000006,-9.8
ACLR,3,CC1=CC=CC(C(=O)Nc2ccc(-c3ccccc3)cc2CC(=O)NC2=CC=C(c3ccccc3)CC2)C1=O,LSTM,514.6250000000003,6.413500000000005,-9.7
ABNH,3,CC1C=CC=CC=C2CC(Cc3ccccc3)=CC=CC=C2NC(=O)NC(C)CCCCCCCCCCCC1,LSTM,540.8360000000004,10.056699999999994,-9.7
AAWX,3,O=C(NC1=CC=C(C2=NN=NC2=O)C(c2ccccc2)C=C1)Nc1ccc(-c2ccccc2)cc1,LSTM,459.5090000000001,5.9874000000000045,-9.7
AAQW,3,CC(=O)NC(Cc1ccc(CC(=O)NC2=CC=CC(C3=NN=NC3=O)C=C2)c(=O)n1C=CC(=O)Cc1ccccc1O)c1ccc(CC(=O)Nc2ccccc2)c(=O)[nH]1,LSTM,794.8250000000002,3.7590000000000012,-9.6
AAOR,3,CC1=CC=C(c2nnnn2C2=CC=C(Nc3ccccc3)CC2)c2ccc(-c3ccccc3-c3ccccc3)cc2CC1,LSTM,559.7170000000002,8.962000000000002,-9.6
AAMM,3,O=C(Cc1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)COc3ccccc3-c3ccccc3)c(=O)[nH]2)cc1)NC1=CC=C(c2ccccc2)CC1,LSTM,693.7600000000001,6.056600000000005,-9.6
ACEU,3,CC1=CC=CC=CC=C1C(=CC=C1CCC(NC(=O)C2=CC=C(NC(=O)Oc3ccccc3CCCCc3ccccc3C)C(O)=CC=C2)C(=O)N1)c1ccccc1,LSTM,771.9580000000003,9.83182,-9.6
ACAI,3,CC1=CC=C(C(=O)NC(=O)C2=CC=C(C(=O)Nc3ccccc3)C2O)C2=CC=CC=CC=C2CCC1,LSTM,480.56400000000025,4.530600000000003,-9.5
ABMP,3,CC1=CC=C(CC(=O)Nc2nnnn2-c2ccccc2-c2ccccc2)CC1,LSTM,371.4440000000002,4.324400000000003,-9.5
ADHH,1,CCNC(=O)CC1C=CC=C(NC2=CC=CC(c3ccccc3)C=C2)Cc2ccc(C)cc2C=C=C2OCC=C(C)C=C2C=C1,LSTM,594.7990000000002,8.472020000000004,-9.5
ABAB,3,CC1=CC(=CC=CC=CC2=CC3=CC=CC=C2CC(C)CCCCCCCCCCCCCCCCCC3C)C=CC=C1C(=O)N1CCCCC1,LSTM,690.1130000000003,14.13679999999997,-9.5
ABSX,3,CC(=O)NC1=CC=C(C(=O)NC(C(=O)Nc2ccccc2)C2=CC=c3c(=O)[nH]c([nH]c3=O)=CC=CC=C2)CC(=O)NC(CCC=CC(C)(C)C)CCCCCC=CC=CC=CC=CC=C1,LSTM,879.1149999999997,6.749000000000007,-9.5
AAVH,3,CN1CCCCCC2=CC=CC=CC(C3=CC=C(C(=O)Nc4ccc(Cc5ccccc5)cc4)NC3)=CC=CC=C21,LSTM,541.7390000000003,7.554100000000008,-9.5
ACJE,3,Cc1ccc(-c2nnnn2-c2ccccc2-c2ccccc2)cc1,LSTM,312.37600000000003,4.304720000000003,-9.5
ACNS,2,CC1=CC=CC(C(=O)NC2=CCCCC(c3ccccc3)CCC2)c2ccccc2C=C1,LSTM,423.6000000000002,7.437600000000007,-9.5
AAUR,3,CC1=CCCC(C(=O)NC(=O)Cc2ccc(C(=O)NC3=CC=CCCC3)cc2)CCC=CC=CCNCCC1=O,LSTM,543.7080000000003,5.023400000000005,-9.5
AATX,1,O=C(NC1=CC=C(C2C=CCCCCC2)C=C2OCC=C2C=C1)Nc1ccc(-c2ccccc2)cc1,LSTM,476.62000000000006,7.832200000000007,-9.5
ABHF,3,CC(=O)NC(=O)C(CC1=CC=C(c2ccc(-c3ccccc3-c3ccccc3-c3ccccc3)c(=O)[nH]c2=O)CCC=CC=CC=C1)Cc1ccccc1,LSTM,710.874,9.42,-9.4
AALK,3,CC1C=CCC(C)(C(=O)NC(=O)CN(C)C2=CC=C(C(=O)N3c4ccccc43)C=CC=C3C=CC=C32)C1=O,LSTM,507.59000000000026,4.213400000000004,-9.4
AAOF,3,CC1=CC=C2C3=CC=CCC3=CC=CC=C(CCCCCC3C(C)CCCC(C)CC(C)CCCCCCCC23)C1,LSTM,554.9470000000003,12.967599999999976,-9.4
AAKC,3,CC(=O)NC(Cc1ccc(C2=CC=C(c3ccccc3-c3ccccc3)CC2)c(=O)[nH]1)c1ccccc1O,LSTM,502.61400000000026,6.428200000000007,-9.4
ABQA,3,CC(=O)NC1=CC=C(C(=O)NC(CC2=CC=CC=CC=CC=CC=C2)C(=O)Nc2ccccc2C)CC=CC=CC=CC=C1,LSTM,585.7480000000003,7.1043200000000075,-9.4
ACLQ,1,CC(=O)NC1=CC=C(NC(=O)Nc2ccccc2N2CCN(C(=O)c3ccccc3N)CC2)C(C)=C(c2ccccc2)CCc2ccccc21,LSTM,666.8260000000002,6.833700000000007,-9.4
AARC,0,NC(=O)C(Cc1ccc(OCc2ccccc2)cc1)CP(=O)(O)CC(Cc1ccccc1)C(=O)O,generated,495.5120000000002,4.123500000000003,-9.4
AAMF,3,CN1CCCCCCCCCc2ccccc2C1=CC=CC=C1C=CC=CC=CCCC1,LSTM,427.6760000000002,8.581200000000004,-9.3
ACCF,3,CC1=CC=C(Cc2ccc(-c3ccccc3)c(C)c2)C=CC=CC=CC=CC=CC=CC=CC1,LSTM,442.64600000000013,9.374319999999997,-9.3
ABKR,2,CC1=CC=CC(N2CCC(C)CC(c3ccccc3)CC2)c2ccccc21,LSTM,357.54100000000017,6.606600000000007,-9.3
AAQB,3,CC1C=CC(C)(C)C(=CC=CC=C2C=CC=C3N=NN(Cc4ccc(CN)cc4)C(=O)N3C2)CNC1=O,LSTM,498.63100000000037,4.918600000000005,-9.3
ABAW,3,CC(=O)NC1=CC=C(C(=O)Nc2ccccc2)C1=CC=CC=CC=CC=CC=C1C=CC=CC=CC=CC=CC=CCCCC=CCO1,LSTM,636.8359999999999,9.714099999999998,-9.2
AART,3,CC(C)C(=O)NC1=CC=C(C(=O)Nc2ccccc2)C2=CC=C(Nc3ccccc3-c3ccccc3)CC2C1,LSTM,515.6570000000002,7.220600000000006,-9.2
AASI,3,CC(=O)CC1=CC=C2NC(=O)CCCCCCCC3=CC=CC=c4cc1oc4=CC(=CC=CC=C1CCC=C1C3)Cc1ccccc12,LSTM,623.837,8.676300000000005,-9.2
ACAU,3,CC1CCCCCCCC2=CC=C(C(=O)Nc3ccccc3-c3ccccc3CC1)C2=O,LSTM,427.58800000000025,7.040600000000007,-9.2
ABXD,3,CC(=O)NC1=CC=CC=C(C(=O)NC(Cc2ccccc2)Cc2ccccc2)CCC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C1,LSTM,686.9400000000003,10.371199999999993,-9.2
AACP,3,CC(=O)NC1=CC=C(C(=O)O)C=CC=C1C(O)CC(=O)Nc1ccc(C(=O)Nc2ccccc2-c2ccc(-c3ccccc3)cc2)c(=O)[nH]1,LSTM,656.6950000000003,5.177900000000003,-9.2
ABRC,3,CC(=O)NC(=O)Cc1ccccc1C=CC=CC=C1C=CC=C(C(C)(C)C)C=CC=CC=CC=CC=CC=CC=C(C)C=C1,LSTM,583.8160000000001,9.769599999999997,-9.2
AAVM,3,CC(=O)C1CCC(CC(=O)Nc2ccc(-c3ccccc3)[nH]c(=O)c3ccccc3cc2)C(=O)N1,LSTM,469.54100000000017,4.131900000000002,-9.2
ACJD,2,Cc1ccc(C(CC=C2C=CC=CCCCC2)NC(=O)C2CCCCC2)cc1,LSTM,377.57200000000023,6.735520000000006,-9.2
AAOY,3,CC(=O)NC1=CC=C(C2=NN=NC2=O)c2ccccc2C=C1CC1=CC=C(CN=c2cccccc2)CC(C)C1,LSTM,529.6440000000002,6.109100000000006,-9.2
ACFR,3,CC(=O)N(Cc1ccc(-c2ccccc2)c(=O)[nH]1)C(=O)NN1C=CC(C(=O)NC2=CC=CC=CC=C2)CC1,LSTM,511.5820000000002,3.5329000000000024,-9.1
AARF,3,Cc1cccccccccccccc(C)c(C2=CC=C(c3cccnc3)CC2=O)cc1,LSTM,431.5790000000002,7.511440000000007,-9.1
ACLX,3,Cc1ccc(-c2nnnn2-c2ccccc2)c2ccccc12,LSTM,286.3380000000001,3.7909200000000025,-9.1
AABU,3,O=C1NCCN=C1n1nnnc1-c1ccccc1-c1ccccc1,GA,318.34000000000003,1.3835000000000002,-9.1
ACKJ,3,Cc1ccc(C2=CC=C(c3ccccc3)CC2)cc1Cc1ccccc1C=CC=CC=C1OCC=CC=C1O,LSTM,510.67700000000025,9.328220000000002,-9.1
ABII,1,N#CC1C=CC=CC=C2C=CN=NC(CCCOC(N=C3OCC=C3C3CCCCC3)=CC1)CN(CCc1ccccc1)CC2,LSTM,605.8270000000003,8.425180000000006,-9.1
ABXV,1,CNC(=O)NC1=CC=C(C)C(=O)NNC(=O)C2CCCCC=C2CCN1CC(=O)Nc1ccccc1O,LSTM,510.59500000000037,2.0170999999999997,-9.1
ACAW,3,O=C(O)C1=C(c2ccc(-c3ccccc3)cc2)C(c2ccccc2)=CN(NC(=O)C(Cc2ccccc2)C(=O)NC(=O)c2ccccc2)C(=O)C1,LSTM,675.7410000000001,6.311900000000007,-9.1
ABSO,3,O=C(CC1CC(NC(=O)C(CC2=CC=C(c3ccccc3)CCCCCCCC2)C(=O)Nc2ccccc2)=CC=C(C(=O)O)OC1=O)Nc1ccccc1O,LSTM,745.8730000000005,8.041900000000005,-9.1
ABYW,3,CC1=CC=C(C(=O)NC2=CC=C(c3ccccc3)CC2)CCCc2ccccc21,LSTM,381.51900000000023,6.2301000000000055,-9.1
ACLK,1,CC(C)C(=O)NC1=CC=C(NC2=CC=C(c3ccccc3)c3ccccc3C=C2)CCC=CC=CC1=O,LSTM,488.63100000000026,6.633900000000005,-9.0
ACND,3,CC(=O)Nc1ccc(CC(=O)NC2=CC=C(c3ccccc3C3=NN=NC3=O)CC2)c(=O)[nH]1,LSTM,444.45100000000025,2.4497999999999998,-9.0
ACLB,3,CC1CCC2CCCCCCC=CC=CC=CC=CC(C)(CC=CCCCCCCCC2)C1,LSTM,450.7950000000005,11.074999999999989,-9.0
ABHY,0,N#Cc1cccc(NP(=O)(OCC(CO)Cc2ccc(F)c(F)c2)c2ccccc2)c1,generated,442.40200000000004,4.634780000000003,-9.0
ACPP,1,NC1=NC2NC3=CC=C(c4nnc(-c5ccccc5)nn4)NCC3=CC=C(Cl)C=CC2=COCCC1,LSTM,500.9940000000003,3.3477000000000023,-9.0
