Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_idAAAAgen14_uff_E=102.76, -4.3, 0.000, 0.000
6LU7_idAAAAgen14_uff_E=102.76, -4.2,30.393,31.806
6LU7_idAAAAgen14_uff_E=102.76, -4.2,17.389,18.181
6LU7_idAAAAgen14_uff_E=102.76, -4.1,17.425,17.808
6LU7_idAAAAgen14_uff_E=102.76, -4.1,17.643,18.057
6LU7_idAAAAgen14_uff_E=102.76, -4.1,30.644,31.566
6LU7_idAAAAgen14_uff_E=102.76, -4.0,28.551,29.249
6LU7_idAAAAgen14_uff_E=102.76, -3.9,30.277,31.876
6LU7_idAAAAgen14_uff_E=102.76, -3.8,25.608,26.430
6LU7_idAAAAgen14_uff_E=897.04, -9.7, 0.000, 0.000
6LU7_idAAAAgen14_uff_E=897.04, -8.9, 1.565, 3.408
6LU7_idAAAAgen14_uff_E=897.04, -8.4, 2.565, 4.102
6LU7_idAAAAgen14_uff_E=897.04, -8.4, 2.726, 4.551
6LU7_idAAAAgen14_uff_E=897.04, -8.4, 2.143, 3.437
6LU7_idAAAAgen14_uff_E=897.04, -8.3, 2.706, 4.982
6LU7_idAAAAgen14_uff_E=897.04, -8.3,40.631,46.820
6LU7_idAAAAgen14_uff_E=897.04, -8.2, 4.816, 8.580
6LU7_idAAAAgen14_uff_E=897.04, -8.2, 4.587, 9.174
6LU7_idAAABgen14_uff_E=160.25, -5.1, 0.000, 0.000
6LU7_idAAABgen14_uff_E=160.25, -5.0,47.056,49.932
6LU7_idAAABgen14_uff_E=160.25, -5.0,35.966,37.361
6LU7_idAAABgen14_uff_E=160.25, -4.9,62.609,64.833
6LU7_idAAABgen14_uff_E=160.25, -4.9,62.036,64.453
6LU7_idAAABgen14_uff_E=160.25, -4.9,62.381,64.680
6LU7_idAAABgen14_uff_E=160.25, -4.9,47.185,50.019
6LU7_idAAABgen14_uff_E=160.25, -4.9, 0.750, 2.102
6LU7_idAAABgen14_uff_E=160.25, -4.8,46.080,48.941
6LU7_idAAABgen14_uff_E=47.54, -3.7, 0.000, 0.000
6LU7_idAAABgen14_uff_E=47.54, -3.7, 0.079, 1.978
6LU7_idAAABgen14_uff_E=47.54, -3.7, 0.044, 1.978
6LU7_idAAABgen14_uff_E=47.54, -3.7,18.519,19.149
6LU7_idAAABgen14_uff_E=47.54, -3.7,18.501,19.166
6LU7_idAAABgen14_uff_E=47.54, -3.5,17.491,17.896
6LU7_idAAABgen14_uff_E=47.54, -3.5,17.708,18.185
6LU7_idAAABgen14_uff_E=47.54, -3.5,18.688,20.067
6LU7_idAAABgen14_uff_E=47.54, -3.5,18.647,19.910
6LU7_idAAACgen14_uff_E=13.13, -3.8, 0.000, 0.000
6LU7_idAAACgen14_uff_E=13.13, -3.2,17.049,17.512
6LU7_idAAACgen14_uff_E=13.13, -3.2,25.728,26.045
6LU7_idAAACgen14_uff_E=13.13, -3.1,29.620,30.174
6LU7_idAAACgen14_uff_E=13.13, -3.0,17.075,17.396
6LU7_idAAACgen14_uff_E=13.13, -3.0,31.637,33.205
6LU7_idAAACgen14_uff_E=13.13, -3.0, 9.391,10.613
6LU7_idAAACgen14_uff_E=13.13, -3.0,21.667,23.460
6LU7_idAAACgen14_uff_E=13.13, -2.9,29.712,31.196
6LU7_idAAACgen14_uff_E=182.16, -6.4, 0.000, 0.000
6LU7_idAAACgen14_uff_E=182.16, -6.4, 8.367,11.239
6LU7_idAAACgen14_uff_E=182.16, -6.1, 8.299,11.584
6LU7_idAAACgen14_uff_E=182.16, -6.0, 1.864, 3.323
6LU7_idAAACgen14_uff_E=182.16, -5.9,19.809,23.145
6LU7_idAAACgen14_uff_E=182.16, -5.8, 2.082, 3.100
6LU7_idAAACgen14_uff_E=182.16, -5.8, 5.235, 8.082
