Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_idAAAAgen11_uff_E=1049.87, -6.9, 0.000, 0.000
6LU7_idAAAAgen11_uff_E=1049.87, -6.8, 2.361, 3.105
6LU7_idAAAAgen11_uff_E=1049.87, -6.6, 3.847, 7.479
6LU7_idAAAAgen11_uff_E=1049.87, -6.6, 3.059, 9.092
6LU7_idAAAAgen11_uff_E=1049.87, -6.6, 2.724, 4.315
6LU7_idAAAAgen11_uff_E=1049.87, -6.6, 3.301, 7.982
6LU7_idAAAAgen11_uff_E=1049.87, -6.5,21.414,23.814
6LU7_idAAAAgen11_uff_E=1049.87, -6.5,19.851,24.647
6LU7_idAAAAgen11_uff_E=1049.87, -6.5,21.108,24.857
6LU7_idAAACgen10_uff_E=2080.12, -7.0, 0.000, 0.000
6LU7_idAAACgen10_uff_E=2080.12, -7.0,22.036,26.606
6LU7_idAAACgen10_uff_E=2080.12, -7.0, 2.077, 6.494
6LU7_idAAACgen10_uff_E=2080.12, -7.0,19.770,23.539
6LU7_idAAACgen10_uff_E=2080.12, -6.9,21.678,24.516
6LU7_idAAACgen10_uff_E=2080.12, -6.8, 2.501, 7.809
6LU7_idAAACgen10_uff_E=2080.12, -6.7, 2.986, 7.105
6LU7_idAAACgen10_uff_E=2080.12, -6.7,20.843,24.505
6LU7_idAAACgen10_uff_E=2080.12, -6.7, 2.244, 8.266
6LU7_idAAAGgen10_uff_E=9330.86, -8.9, 0.000, 0.000
6LU7_idAAAGgen10_uff_E=9330.86, -8.8, 3.127, 8.718
6LU7_idAAAGgen10_uff_E=9330.86, -8.8,21.208,26.363
6LU7_idAAAGgen10_uff_E=9330.86, -8.7, 3.185, 8.898
6LU7_idAAAGgen10_uff_E=9330.86, -8.6, 4.338, 8.300
6LU7_idAAAGgen10_uff_E=9330.86, -8.6, 2.121, 9.338
6LU7_idAAAGgen10_uff_E=9330.86, -8.6, 3.007, 8.558
6LU7_idAAAGgen10_uff_E=9330.86, -8.5, 1.495, 2.318
6LU7_idAAAGgen10_uff_E=9330.86, -8.4,20.731,25.633
6LU7_idAAAHgen10_uff_E=1997.50, -8.3, 0.000, 0.000
6LU7_idAAAHgen10_uff_E=1997.50, -7.8, 2.778, 9.399
6LU7_idAAAHgen10_uff_E=1997.50, -7.7,19.544,23.365
6LU7_idAAAHgen10_uff_E=1997.50, -7.4,21.760,26.511
6LU7_idAAAHgen10_uff_E=1997.50, -7.3,20.289,24.182
6LU7_idAAAHgen10_uff_E=1997.50, -7.2,19.559,23.491
6LU7_idAAAHgen10_uff_E=1997.50, -7.0,23.540,27.776
6LU7_idAAAHgen10_uff_E=1997.50, -7.0,20.202,23.874
6LU7_idAAAHgen10_uff_E=1997.50, -6.9,22.338,26.835
6LU7_idAAAIgen10_uff_E=1200.73, -7.1, 0.000, 0.000
6LU7_idAAAIgen10_uff_E=1200.73, -6.9, 2.029, 3.396
6LU7_idAAAIgen10_uff_E=1200.73, -6.8,21.789,26.888
6LU7_idAAAIgen10_uff_E=1200.73, -6.8,24.431,27.763
6LU7_idAAAIgen10_uff_E=1200.73, -6.6,22.405,28.167
6LU7_idAAAIgen10_uff_E=1200.73, -6.6,25.504,27.776
6LU7_idAAAIgen10_uff_E=1200.73, -6.6,25.166,27.482
6LU7_idAAAIgen10_uff_E=1200.73, -6.6,23.641,27.908
6LU7_idAAAIgen10_uff_E=1200.73, -6.6,21.446,26.798
6LU7_idAAAIgen9_uff_E=880.73, -8.1, 0.000, 0.000
6LU7_idAAAIgen9_uff_E=880.73, -7.7, 2.255, 8.493
6LU7_idAAAIgen9_uff_E=880.73, -7.6, 1.983, 8.622
6LU7_idAAAIgen9_uff_E=880.73, -7.5, 1.970, 8.953
6LU7_idAAAIgen9_uff_E=880.73, -7.4, 2.077, 8.621
6LU7_idAAAIgen9_uff_E=880.73, -7.4, 2.499,10.342
6LU7_idAAAIgen9_uff_E=880.73, -7.3, 1.978, 8.473
6LU7_idAAAIgen9_uff_E=880.73, -7.3, 2.399, 9.069
6LU7_idAAAIgen9_uff_E=880.73, -7.3,21.467,25.833
6LU7_idAAAJgen10_uff_E=21328.54, -9.6, 0.000, 0.000
6LU7_idAAAJgen10_uff_E=21328.54, -9.4, 2.583, 7.452
6LU7_idAAAJgen10_uff_E=21328.54, -9.4, 2.729, 9.154
6LU7_idAAAJgen10_uff_E=21328.54, -9.4, 3.132, 8.173
6LU7_idAAAJgen10_uff_E=21328.54, -9.3, 2.423, 8.773
6LU7_idAAAJgen10_uff_E=21328.54, -9.3, 2.461, 7.751
6LU7_idAAAJgen10_uff_E=21328.54, -9.2, 5.441, 9.121
6LU7_idAAAJgen10_uff_E=21328.54, -9.1, 8.207,11.799
6LU7_idAAAJgen10_uff_E=21328.54, -9.0, 2.845, 9.029
6LU7_idAAANgen10_uff_E=9256.82,-10.2, 0.000, 0.000
6LU7_idAAANgen10_uff_E=9256.82, -9.9, 2.992, 5.451
6LU7_idAAANgen10_uff_E=9256.82, -9.6, 4.424,10.995
6LU7_idAAANgen10_uff_E=9256.82, -9.5, 2.381, 3.150
6LU7_idAAANgen10_uff_E=9256.82, -9.5,21.286,27.345
6LU7_idAAANgen10_uff_E=9256.82, -9.4,22.079,26.965
6LU7_idAAANgen10_uff_E=9256.82, -9.3,22.760,27.623
6LU7_idAAANgen10_uff_E=9256.82, -9.3,22.043,26.845
6LU7_idAAANgen10_uff_E=9256.82, -9.3, 2.508, 3.481
6LU7_idAAAQgen10_uff_E=67445328182.84,-11.7, 0.000, 0.000
6LU7_idAAAQgen10_uff_E=67445328182.84,-11.5,29.127,32.594
6LU7_idAAAQgen10_uff_E=67445328182.84,-11.4,28.847,32.077
6LU7_idAAAQgen10_uff_E=67445328182.84,-11.3,22.529,27.450
6LU7_idAAAQgen10_uff_E=67445328182.84,-11.2,28.243,31.653
6LU7_idAAAQgen10_uff_E=67445328182.84,-10.9,28.902,32.318
6LU7_idAAAQgen10_uff_E=67445328182.84,-10.8,27.616,30.625
6LU7_idAAAQgen10_uff_E=67445328182.84,-10.6,28.514,32.034
6LU7_idAAAQgen10_uff_E=67445328182.84,-10.2,39.793,44.749
6LU7_idAAASgen10_uff_E=894.45, -8.1, 0.000, 0.000
6LU7_idAAASgen10_uff_E=894.45, -7.9,21.488,25.945
6LU7_idAAASgen10_uff_E=894.45, -7.8, 3.138, 9.112
6LU7_idAAASgen10_uff_E=894.45, -7.8, 1.793, 6.320
6LU7_idAAASgen10_uff_E=894.45, -7.8,22.047,26.435
6LU7_idAAASgen10_uff_E=894.45, -7.7,20.584,23.958
6LU7_idAAASgen10_uff_E=894.45, -7.7, 2.298, 7.531
6LU7_idAAASgen10_uff_E=894.45, -7.6,18.926,22.262
6LU7_idAAASgen10_uff_E=894.45, -7.5,21.328,25.668
6LU7_idAAAVgen10_uff_E=1346.60, -7.3, 0.000, 0.000
6LU7_idAAAVgen10_uff_E=1346.60, -7.2,22.557,26.902
6LU7_idAAAVgen10_uff_E=1346.60, -7.2,22.965,27.153
6LU7_idAAAVgen10_uff_E=1346.60, -7.1, 2.269, 9.399
6LU7_idAAAVgen10_uff_E=1346.60, -7.1, 2.496, 8.593
6LU7_idAAAVgen10_uff_E=1346.60, -7.0,23.133,27.496
6LU7_idAAAVgen10_uff_E=1346.60, -7.0,22.196,26.616
6LU7_idAAAVgen10_uff_E=1346.60, -6.9,21.698,25.739
6LU7_idAAAVgen10_uff_E=1346.60, -6.8, 2.292, 8.790
6LU7_idAAAXgen10_uff_E=1818.23, -8.9, 0.000, 0.000
6LU7_idAAAXgen10_uff_E=1818.23, -8.2, 2.789, 9.495
6LU7_idAAAXgen10_uff_E=1818.23, -8.1, 1.960, 5.096
6LU7_idAAAXgen10_uff_E=1818.23, -7.9, 2.583, 7.437
6LU7_idAAAXgen10_uff_E=1818.23, -7.9,21.061,26.130
6LU7_idAAAXgen10_uff_E=1818.23, -7.9, 2.510, 9.543
6LU7_idAAAXgen10_uff_E=1818.23, -7.8,21.359,25.314
6LU7_idAAAXgen10_uff_E=1818.23, -7.8, 2.770, 5.092
6LU7_idAAAXgen10_uff_E=1818.23, -7.8, 2.140, 5.679
6LU7_idAAAXgen9_uff_E=847.61, -8.0, 0.000, 0.000
6LU7_idAAAXgen9_uff_E=847.61, -7.7, 1.431, 2.153
6LU7_idAAAXgen9_uff_E=847.61, -7.5, 1.671, 2.720
6LU7_idAAAXgen9_uff_E=847.61, -7.4,19.637,25.502
6LU7_idAAAXgen9_uff_E=847.61, -7.3, 2.848, 7.062
6LU7_idAAAXgen9_uff_E=847.61, -7.3, 1.984, 3.458
6LU7_idAAAXgen9_uff_E=847.61, -7.2,19.614,24.824
6LU7_idAAAXgen9_uff_E=847.61, -7.2,19.844,25.532
6LU7_idAAAXgen9_uff_E=847.61, -7.2, 2.281, 9.351
6LU7_idAABBgen10_uff_E=9570.12, -9.0, 0.000, 0.000
6LU7_idAABBgen10_uff_E=9570.12, -8.6, 1.117, 2.290
6LU7_idAABBgen10_uff_E=9570.12, -8.4, 2.496, 6.526
6LU7_idAABBgen10_uff_E=9570.12, -8.3, 2.953, 8.363
6LU7_idAABBgen10_uff_E=9570.12, -8.3,20.648,26.127
6LU7_idAABBgen10_uff_E=9570.12, -8.3, 2.076, 3.610
6LU7_idAABBgen10_uff_E=9570.12, -8.2, 3.390, 8.904
6LU7_idAABBgen10_uff_E=9570.12, -8.2,20.643,25.770
6LU7_idAABBgen10_uff_E=9570.12, -8.2, 2.938, 9.445
6LU7_idAABEgen10_uff_E=820.06, -6.9, 0.000, 0.000
6LU7_idAABEgen10_uff_E=820.06, -6.8,21.327,26.250
6LU7_idAABEgen10_uff_E=820.06, -6.7,20.120,26.511
6LU7_idAABEgen10_uff_E=820.06, -6.6,21.727,26.736
6LU7_idAABEgen10_uff_E=820.06, -6.3,24.612,28.681
6LU7_idAABEgen10_uff_E=820.06, -6.3, 3.048, 6.687
6LU7_idAABEgen10_uff_E=820.06, -6.3,20.203,26.926
6LU7_idAABEgen10_uff_E=820.06, -6.3,21.958,27.251
6LU7_idAABEgen10_uff_E=820.06, -6.3,22.157,29.340
6LU7_idAABFgen10_uff_E=9422.37, -8.1, 0.000, 0.000
6LU7_idAABFgen10_uff_E=9422.37, -7.9, 6.438,13.224
6LU7_idAABFgen10_uff_E=9422.37, -7.8, 3.113,10.195
6LU7_idAABFgen10_uff_E=9422.37, -7.8,20.876,25.597
6LU7_idAABFgen10_uff_E=9422.37, -7.6,22.525,26.394
6LU7_idAABFgen10_uff_E=9422.37, -7.6, 2.310, 3.862
6LU7_idAABFgen10_uff_E=9422.37, -7.5,20.411,25.365
6LU7_idAABFgen10_uff_E=9422.37, -7.5, 2.351, 3.610
6LU7_idAABFgen10_uff_E=9422.37, -7.4,20.915,26.028
6LU7_idAABFgen9_uff_E=1160.12, -7.9, 0.000, 0.000
6LU7_idAABFgen9_uff_E=1160.12, -7.8, 2.342, 8.225
6LU7_idAABFgen9_uff_E=1160.12, -7.7, 2.645, 7.617
6LU7_idAABFgen9_uff_E=1160.12, -7.5, 2.590, 6.895
6LU7_idAABFgen9_uff_E=1160.12, -7.4, 2.474, 7.593
6LU7_idAABFgen9_uff_E=1160.12, -7.3,19.592,23.875
6LU7_idAABFgen9_uff_E=1160.12, -7.3,21.405,25.356
6LU7_idAABFgen9_uff_E=1160.12, -7.3, 2.787, 7.655
6LU7_idAABFgen9_uff_E=1160.12, -7.3, 2.935, 7.478
6LU7_idAABGgen10_uff_E=935.67, -9.2, 0.000, 0.000
6LU7_idAABGgen10_uff_E=935.67, -8.3,18.978,25.193
6LU7_idAABGgen10_uff_E=935.67, -8.2, 2.969, 8.866
6LU7_idAABGgen10_uff_E=935.67, -8.1,19.226,25.318
6LU7_idAABGgen10_uff_E=935.67, -8.1, 1.741, 2.524
6LU7_idAABGgen10_uff_E=935.67, -7.9, 2.842, 7.475
6LU7_idAABGgen10_uff_E=935.67, -7.9, 2.863, 9.221
6LU7_idAABGgen10_uff_E=935.67, -7.8, 2.619, 6.962
6LU7_idAABGgen10_uff_E=935.67, -7.8, 1.710, 3.135
6LU7_idAABLgen10_uff_E=13362.99, -7.5, 0.000, 0.000
6LU7_idAABLgen10_uff_E=13362.99, -7.5,22.522,25.035
6LU7_idAABLgen10_uff_E=13362.99, -7.5,22.490,24.904
6LU7_idAABLgen10_uff_E=13362.99, -7.4,25.288,28.857
6LU7_idAABLgen10_uff_E=13362.99, -7.4, 3.608, 9.779
6LU7_idAABLgen10_uff_E=13362.99, -7.3, 2.773, 6.957
6LU7_idAABLgen10_uff_E=13362.99, -7.3, 2.856, 6.958
6LU7_idAABLgen10_uff_E=13362.99, -7.3, 2.051, 3.463
6LU7_idAABLgen10_uff_E=13362.99, -7.1, 1.481, 2.663
6LU7_idAABLgen9_uff_E=1366.94, -7.6, 0.000, 0.000
6LU7_idAABLgen9_uff_E=1366.94, -7.4, 4.141, 6.454
6LU7_idAABLgen9_uff_E=1366.94, -7.2,21.986,26.805
6LU7_idAABLgen9_uff_E=1366.94, -7.2, 2.843, 4.658
6LU7_idAABLgen9_uff_E=1366.94, -7.1, 1.724, 2.662
6LU7_idAABLgen9_uff_E=1366.94, -7.1, 2.796, 4.576
6LU7_idAABLgen9_uff_E=1366.94, -7.0, 2.860,11.023
6LU7_idAABLgen9_uff_E=1366.94, -7.0, 2.910, 5.381
6LU7_idAABLgen9_uff_E=1366.94, -7.0, 4.415, 7.421
6LU7_idAABOgen10_uff_E=687.09, -9.3, 0.000, 0.000
6LU7_idAABOgen10_uff_E=687.09, -9.1, 1.633, 2.602
6LU7_idAABOgen10_uff_E=687.09, -8.9, 2.263, 3.938
6LU7_idAABOgen10_uff_E=687.09, -8.5,20.331,24.554
6LU7_idAABOgen10_uff_E=687.09, -8.4,20.980,25.841
6LU7_idAABOgen10_uff_E=687.09, -8.4,20.463,25.538
6LU7_idAABOgen10_uff_E=687.09, -8.2,21.678,26.071
6LU7_idAABOgen10_uff_E=687.09, -8.2, 3.023, 5.950
6LU7_idAABOgen10_uff_E=687.09, -8.2,21.150,25.861
6LU7_idAABPgen10_uff_E=13432.05, -9.9, 0.000, 0.000
6LU7_idAABPgen10_uff_E=13432.05, -9.3, 3.349, 8.591
6LU7_idAABPgen10_uff_E=13432.05, -9.1,21.384,25.999
6LU7_idAABPgen10_uff_E=13432.05, -9.1, 2.934, 7.025
